id,year,council_area,age_group,sex,number_assessed,percent_assessed
2200,2006,Fife,30 to 34 yrs old,All,274,21.47335
2201,2006,Fife,35 to 39 yrs old,All,148,11.59875
2202,2006,Fife,40 to 44 yrs old,All,88,6.89655
2203,2006,Fife,45+ yrs old,All,50,3.9185
2204,2006,Fife,Unknown,All,0,0
2205,2007,Fife,Under 20yrs old,All,210,11.18211
2206,2007,Fife,20 to 24 yrs old,All,277,14.74973
2207,2007,Fife,25 to 29 yrs old,All,435,23.16294
2208,2007,Fife,30 to 34 yrs old,All,314,16.71991
2209,2007,Fife,35 to 39 yrs old,All,234,12.46006
2210,2007,Fife,40 to 44 yrs old,All,176,9.37167
2211,2007,Fife,45+ yrs old,All,231,12.30032
2212,2007,Fife,Unknown,All,1,0.05325
2213,2008,Fife,Under 20yrs old,All,94,9.93658
2214,2008,Fife,20 to 24 yrs old,All,164,17.33615
2215,2008,Fife,25 to 29 yrs old,All,226,23.89006
2216,2008,Fife,30 to 34 yrs old,All,183,19.34461
2217,2008,Fife,35 to 39 yrs old,All,129,13.63636
2218,2008,Fife,40 to 44 yrs old,All,85,8.9852
2219,2008,Fife,45+ yrs old,All,65,6.87104
2220,2008,Fife,Unknown,All,0,0
2221,2009,Fife,Under 20yrs old,All,88,9.55483
2222,2009,Fife,20 to 24 yrs old,All,142,15.41802
2223,2009,Fife,25 to 29 yrs old,All,223,24.21281
2224,2009,Fife,30 to 34 yrs old,All,201,21.8241
2225,2009,Fife,35 to 39 yrs old,All,141,15.30945
2226,2009,Fife,40 to 44 yrs old,All,71,7.70901
2227,2009,Fife,45+ yrs old,All,55,5.97177
2228,2009,Fife,Unknown,All,0,0
2229,2010,Fife,Under 20yrs old,All,72,6.92308
2230,2010,Fife,20 to 24 yrs old,All,128,12.30769
2231,2010,Fife,25 to 29 yrs old,All,276,26.53846
2232,2010,Fife,30 to 34 yrs old,All,240,23.07692
2233,2010,Fife,35 to 39 yrs old,All,150,14.42308
2234,2010,Fife,40 to 44 yrs old,All,100,9.61538
2235,2010,Fife,45+ yrs old,All,74,7.11538
2236,2010,Fife,Unknown,All,0,0
2237,2011,Fife,Under 20yrs old,All,49,5.20723
2238,2011,Fife,20 to 24 yrs old,All,97,10.30818
2239,2011,Fife,25 to 29 yrs old,All,207,21.99787
2240,2011,Fife,30 to 34 yrs old,All,264,28.05526
2241,2011,Fife,35 to 39 yrs old,All,151,16.04676
2242,2011,Fife,40 to 44 yrs old,All,107,11.37088
2243,2011,Fife,45+ yrs old,All,66,7.01382
2244,2011,Fife,Unknown,All,0,0
2245,2012,Fife,Under 20yrs old,All,23,2.22222
2246,2012,Fife,20 to 24 yrs old,All,113,10.91787
2247,2012,Fife,25 to 29 yrs old,All,187,18.06763
2248,2012,Fife,30 to 34 yrs old,All,271,26.18357
2249,2012,Fife,35 to 39 yrs old,All,188,18.16425
2250,2012,Fife,40 to 44 yrs old,All,125,12.07729
2251,2012,Fife,45+ yrs old,All,128,12.36715
2252,2012,Fife,Unknown,All,0,0
2253,2013,Fife,Under 20yrs old,All,18,1.59292
2254,2013,Fife,20 to 24 yrs old,All,98,8.67257
2255,2013,Fife,25 to 29 yrs old,All,197,17.43363
2256,2013,Fife,30 to 34 yrs old,All,290,25.66372
2257,2013,Fife,35 to 39 yrs old,All,201,17.78761
2258,2013,Fife,40 to 44 yrs old,All,161,14.24779
2259,2013,Fife,45+ yrs old,All,165,14.60177
2260,2013,Fife,Unknown,All,0,0
2261,2014,Fife,Under 20yrs old,All,25,2.20264
2262,2014,Fife,20 to 24 yrs old,All,84,7.40088
2263,2014,Fife,25 to 29 yrs old,All,182,16.03524
2264,2014,Fife,30 to 34 yrs old,All,287,25.28634
2265,2014,Fife,35 to 39 yrs old,All,211,18.59031
2266,2014,Fife,40 to 44 yrs old,All,135,11.89427
2267,2014,Fife,45+ yrs old,All,211,18.59031
2268,2014,Fife,Unknown,All,0,0
2269,2015,Fife,Under 20yrs old,All,19,1.58863
2270,2015,Fife,20 to 24 yrs old,All,76,6.35452
2271,2015,Fife,25 to 29 yrs old,All,169,14.13043
2272,2015,Fife,30 to 34 yrs old,All,272,22.74247
2273,2015,Fife,35 to 39 yrs old,All,222,18.56187
2274,2015,Fife,40 to 44 yrs old,All,185,15.46823
2275,2015,Fife,45+ yrs old,All,253,21.15385
2276,2015,Fife,Unknown,All,0,0
2277,2016,Fife,Under 20yrs old,All,26,2.87611
2278,2016,Fife,20 to 24 yrs old,All,55,6.08407
2279,2016,Fife,25 to 29 yrs old,All,116,12.83186
2280,2016,Fife,30 to 34 yrs old,All,163,18.03097
2281,2016,Fife,35 to 39 yrs old,All,214,23.67257
2282,2016,Fife,40 to 44 yrs old,All,144,15.9292
2283,2016,Fife,45+ yrs old,All,186,20.57522
2284,2016,Fife,Unknown,All,0,0
2285,2017,Fife,Under 20yrs old,All,22,2.21328
2286,2017,Fife,20 to 24 yrs old,All,55,5.5332
2287,2017,Fife,25 to 29 yrs old,All,124,12.47485
2288,2017,Fife,30 to 34 yrs old,All,194,19.5171
2289,2017,Fife,35 to 39 yrs old,All,211,21.22736
2290,2017,Fife,40 to 44 yrs old,All,158,15.89537
2291,2017,Fife,45+ yrs old,All,230,23.13883
2292,2017,Fife,Unknown,All,0,0
2293,2019,Fife,Under 20yrs old,All,37,4.06147
2294,2019,Fife,20 to 24 yrs old,All,76,8.34248
2295,2019,Fife,25 to 29 yrs old,All,131,14.3798
2296,2019,Fife,30 to 34 yrs old,All,140,15.36773
2297,2019,Fife,35 to 39 yrs old,All,179,19.64874
2298,2019,Fife,40 to 44 yrs old,All,125,13.72119
2299,2019,Fife,45+ yrs old,All,223,24.47859
2300,2019,Fife,Unknown,All,0,0
2301,2006,Glasgow City,Under 20yrs old,All,145,6.72854
2302,2006,Glasgow City,20 to 24 yrs old,All,245,11.36891
2303,2006,Glasgow City,25 to 29 yrs old,All,410,19.02552
2304,2006,Glasgow City,30 to 34 yrs old,All,480,22.27378
2305,2006,Glasgow City,35 to 39 yrs old,All,395,18.32947
2306,2006,Glasgow City,40 to 44 yrs old,All,266,12.34339
2307,2006,Glasgow City,45+ yrs old,All,214,9.93039
2308,2006,Glasgow City,Unknown,All,0,0
2309,2007,Glasgow City,Under 20yrs old,All,93,4.91284
2310,2007,Glasgow City,20 to 24 yrs old,All,200,10.56524
2311,2007,Glasgow City,25 to 29 yrs old,All,336,17.7496
2312,2007,Glasgow City,30 to 34 yrs old,All,424,22.39831
2313,2007,Glasgow City,35 to 39 yrs old,All,380,20.07396
2314,2007,Glasgow City,40 to 44 yrs old,All,229,12.0972
2315,2007,Glasgow City,45+ yrs old,All,231,12.20285
2316,2007,Glasgow City,Unknown,All,0,0
2317,2008,Glasgow City,Under 20yrs old,All,85,4.97658
2318,2008,Glasgow City,20 to 24 yrs old,All,173,10.12881
2319,2008,Glasgow City,25 to 29 yrs old,All,313,18.32553
2320,2008,Glasgow City,30 to 34 yrs old,All,297,17.38876
2321,2008,Glasgow City,35 to 39 yrs old,All,263,15.39813
2322,2008,Glasgow City,40 to 44 yrs old,All,246,14.40281
2323,2008,Glasgow City,45+ yrs old,All,331,19.37939
2324,2008,Glasgow City,Unknown,All,0,0
2325,2009,Glasgow City,Under 20yrs old,All,51,3.75829
2326,2009,Glasgow City,20 to 24 yrs old,All,133,9.80103
2327,2009,Glasgow City,25 to 29 yrs old,All,234,17.24392
2328,2009,Glasgow City,30 to 34 yrs old,All,245,18.05453
2329,2009,Glasgow City,35 to 39 yrs old,All,251,18.49668
2330,2009,Glasgow City,40 to 44 yrs old,All,186,13.70671
2331,2009,Glasgow City,45+ yrs old,All,257,18.93884
2332,2009,Glasgow City,Unknown,All,0,0
2333,2010,Glasgow City,Under 20yrs old,All,48,3.28093
2334,2010,Glasgow City,20 to 24 yrs old,All,139,9.50103
2335,2010,Glasgow City,25 to 29 yrs old,All,245,16.74641
2336,2010,Glasgow City,30 to 34 yrs old,All,328,22.41969
2337,2010,Glasgow City,35 to 39 yrs old,All,299,20.43746
2338,2010,Glasgow City,40 to 44 yrs old,All,174,11.893370000000001
2339,2010,Glasgow City,45+ yrs old,All,230,15.72112
2340,2010,Glasgow City,Unknown,All,0,0
2341,2011,Glasgow City,Under 20yrs old,All,75,4.34279
2342,2011,Glasgow City,20 to 24 yrs old,All,181,10.4806
2343,2011,Glasgow City,25 to 29 yrs old,All,235,13.60741
2344,2011,Glasgow City,30 to 34 yrs old,All,320,18.52924
2345,2011,Glasgow City,35 to 39 yrs old,All,361,20.9033
2346,2011,Glasgow City,40 to 44 yrs old,All,285,16.50261
2347,2011,Glasgow City,45+ yrs old,All,269,15.57614
2348,2011,Glasgow City,Unknown,All,1,0.0579
2349,2012,Glasgow City,Under 20yrs old,All,66,3.11762
2350,2012,Glasgow City,20 to 24 yrs old,All,173,8.17194
2351,2012,Glasgow City,25 to 29 yrs old,All,270,12.7539
2352,2012,Glasgow City,30 to 34 yrs old,All,381,17.99717
2353,2012,Glasgow City,35 to 39 yrs old,All,397,18.75295
2354,2012,Glasgow City,40 to 44 yrs old,All,357,16.86349
2355,2012,Glasgow City,45+ yrs old,All,473,22.34294
2356,2012,Glasgow City,Unknown,All,0,0
2357,2013,Glasgow City,Under 20yrs old,All,NA,NA
2358,2013,Glasgow City,20 to 24 yrs old,All,NA,NA
2359,2013,Glasgow City,25 to 29 yrs old,All,NA,NA
2360,2013,Glasgow City,30 to 34 yrs old,All,NA,NA
2361,2013,Glasgow City,35 to 39 yrs old,All,NA,NA
2362,2013,Glasgow City,40 to 44 yrs old,All,NA,NA
2363,2013,Glasgow City,45+ yrs old,All,NA,NA
2364,2013,Glasgow City,Unknown,All,NA,NA
2365,2014,Glasgow City,Under 20yrs old,All,78,3.92552
2366,2014,Glasgow City,20 to 24 yrs old,All,156,7.85103
2367,2014,Glasgow City,25 to 29 yrs old,All,219,11.02164
2368,2014,Glasgow City,30 to 34 yrs old,All,348,17.51384
2369,2014,Glasgow City,35 to 39 yrs old,All,406,20.43281
2370,2014,Glasgow City,40 to 44 yrs old,All,367,18.47006
2371,2014,Glasgow City,45+ yrs old,All,413,20.7851
2372,2014,Glasgow City,Unknown,All,0,0
2373,2015,Glasgow City,Under 20yrs old,All,63,3.8937
2374,2015,Glasgow City,20 to 24 yrs old,All,123,7.60198
2375,2015,Glasgow City,25 to 29 yrs old,All,180,11.12485
2376,2015,Glasgow City,30 to 34 yrs old,All,255,15.7602
2377,2015,Glasgow City,35 to 39 yrs old,All,305,18.85043
2378,2015,Glasgow City,40 to 44 yrs old,All,302,18.66502
2379,2015,Glasgow City,45+ yrs old,All,390,24.10383
2380,2015,Glasgow City,Unknown,All,0,0
2381,2016,Glasgow City,Under 20yrs old,All,87,5.03181
2382,2016,Glasgow City,20 to 24 yrs old,All,110,6.36206
2383,2016,Glasgow City,25 to 29 yrs old,All,175,10.12146
2384,2016,Glasgow City,30 to 34 yrs old,All,276,15.96298
2385,2016,Glasgow City,35 to 39 yrs old,All,352,20.35859
2386,2016,Glasgow City,40 to 44 yrs old,All,332,19.20185
2387,2016,Glasgow City,45+ yrs old,All,397,22.96125
2388,2016,Glasgow City,Unknown,All,0,0
2389,2017,Glasgow City,Under 20yrs old,All,66,4.17457
2390,2017,Glasgow City,20 to 24 yrs old,All,112,7.08412
2391,2017,Glasgow City,25 to 29 yrs old,All,139,8.7919
2392,2017,Glasgow City,30 to 34 yrs old,All,232,14.67426
2393,2017,Glasgow City,35 to 39 yrs old,All,297,18.78558
2394,2017,Glasgow City,40 to 44 yrs old,All,292,18.46932
2395,2017,Glasgow City,45+ yrs old,All,443,28.02024
2396,2017,Glasgow City,Unknown,All,0,0
2397,2019,Glasgow City,Under 20yrs old,All,62,4.70767
2398,2019,Glasgow City,20 to 24 yrs old,All,89,6.75778
2399,2019,Glasgow City,25 to 29 yrs old,All,127,9.64313
2400,2019,Glasgow City,30 to 34 yrs old,All,179,13.5915
2401,2019,Glasgow City,35 to 39 yrs old,All,252,19.1344
2402,2019,Glasgow City,40 to 44 yrs old,All,243,18.45103
2403,2019,Glasgow City,45+ yrs old,All,365,27.7145
2404,2019,Glasgow City,Unknown,All,0,0
2405,2006,Highlands,Under 20yrs old,All,94,14.22088
2406,2006,Highlands,20 to 24 yrs old,All,91,13.76702
2407,2006,Highlands,25 to 29 yrs old,All,108,16.33888
2408,2006,Highlands,30 to 34 yrs old,All,76,11.49773
2409,2006,Highlands,35 to 39 yrs old,All,96,14.52345
2410,2006,Highlands,40 to 44 yrs old,All,66,9.98487
2411,2006,Highlands,45+ yrs old,All,130,19.66717
2412,2006,Highlands,Unknown,All,0,0
2413,2007,Highlands,Under 20yrs old,All,48,12.7321
2414,2007,Highlands,20 to 24 yrs old,All,64,16.97613
2415,2007,Highlands,25 to 29 yrs old,All,76,20.15915
2416,2007,Highlands,30 to 34 yrs old,All,49,12.99735
2417,2007,Highlands,35 to 39 yrs old,All,61,16.18037
2418,2007,Highlands,40 to 44 yrs old,All,27,7.1618
2419,2007,Highlands,45+ yrs old,All,52,13.7931
2420,2007,Highlands,Unknown,All,0,0
2421,2008,Highlands,Under 20yrs old,All,34,15.6682
2422,2008,Highlands,20 to 24 yrs old,All,31,14.28571
2423,2008,Highlands,25 to 29 yrs old,All,51,23.5023
2424,2008,Highlands,30 to 34 yrs old,All,33,15.20737
2425,2008,Highlands,35 to 39 yrs old,All,32,14.74654
2426,2008,Highlands,40 to 44 yrs old,All,20,9.21659
2427,2008,Highlands,45+ yrs old,All,16,7.37327
2428,2008,Highlands,Unknown,All,0,0
2429,2009,Highlands,Under 20yrs old,All,28,10.85271
2430,2009,Highlands,20 to 24 yrs old,All,35,13.56589
2431,2009,Highlands,25 to 29 yrs old,All,67,25.96899
2432,2009,Highlands,30 to 34 yrs old,All,51,19.76744
2433,2009,Highlands,35 to 39 yrs old,All,39,15.11628
2434,2009,Highlands,40 to 44 yrs old,All,21,8.13953
2435,2009,Highlands,45+ yrs old,All,17,6.58915
2436,2009,Highlands,Unknown,All,0,0
2437,2010,Highlands,Under 20yrs old,All,20,8.23045
2438,2010,Highlands,20 to 24 yrs old,All,46,18.93004
2439,2010,Highlands,25 to 29 yrs old,All,46,18.93004
2440,2010,Highlands,30 to 34 yrs old,All,49,20.16461
2441,2010,Highlands,35 to 39 yrs old,All,38,15.63786
2442,2010,Highlands,40 to 44 yrs old,All,27,11.11111
2443,2010,Highlands,45+ yrs old,All,17,6.99588
2444,2010,Highlands,Unknown,All,0,0
2445,2011,Highlands,Under 20yrs old,All,12,4.25532
2446,2011,Highlands,20 to 24 yrs old,All,48,17.02128
2447,2011,Highlands,25 to 29 yrs old,All,56,19.85816
2448,2011,Highlands,30 to 34 yrs old,All,52,18.43972
2449,2011,Highlands,35 to 39 yrs old,All,51,18.08511
2450,2011,Highlands,40 to 44 yrs old,All,35,12.41135
2451,2011,Highlands,45+ yrs old,All,28,9.92908
2452,2011,Highlands,Unknown,All,0,0
2453,2012,Highlands,Under 20yrs old,All,13,4.69314
2454,2012,Highlands,20 to 24 yrs old,All,37,13.3574
2455,2012,Highlands,25 to 29 yrs old,All,63,22.74368
2456,2012,Highlands,30 to 34 yrs old,All,45,16.24549
2457,2012,Highlands,35 to 39 yrs old,All,45,16.24549
2458,2012,Highlands,40 to 44 yrs old,All,37,13.3574
2459,2012,Highlands,45+ yrs old,All,37,13.3574
2460,2012,Highlands,Unknown,All,0,0
2461,2013,Highlands,Under 20yrs old,All,11,5.41872
2462,2013,Highlands,20 to 24 yrs old,All,31,15.27094
2463,2013,Highlands,25 to 29 yrs old,All,39,19.21182
2464,2013,Highlands,30 to 34 yrs old,All,43,21.18227
2465,2013,Highlands,35 to 39 yrs old,All,36,17.73399
2466,2013,Highlands,40 to 44 yrs old,All,23,11.33005
2467,2013,Highlands,45+ yrs old,All,20,9.85222
2468,2013,Highlands,Unknown,All,0,0
2469,2014,Highlands,Under 20yrs old,All,11,4.19847
2470,2014,Highlands,20 to 24 yrs old,All,36,13.74046
2471,2014,Highlands,25 to 29 yrs old,All,58,22.1374
2472,2014,Highlands,30 to 34 yrs old,All,53,20.22901
2473,2014,Highlands,35 to 39 yrs old,All,39,14.8855
2474,2014,Highlands,40 to 44 yrs old,All,31,11.83206
2475,2014,Highlands,45+ yrs old,All,34,12.9771
2476,2014,Highlands,Unknown,All,0,0
2477,2015,Highlands,Under 20yrs old,All,8,4.41989
2478,2015,Highlands,20 to 24 yrs old,All,26,14.36464
2479,2015,Highlands,25 to 29 yrs old,All,25,13.81215
2480,2015,Highlands,30 to 34 yrs old,All,38,20.99448
2481,2015,Highlands,35 to 39 yrs old,All,33,18.23204
2482,2015,Highlands,40 to 44 yrs old,All,25,13.81215
2483,2015,Highlands,45+ yrs old,All,26,14.36464
2484,2015,Highlands,Unknown,All,0,0
2485,2016,Highlands,Under 20yrs old,All,10,4.90196
2486,2016,Highlands,20 to 24 yrs old,All,24,11.764709999999999
2487,2016,Highlands,25 to 29 yrs old,All,43,21.07843
2488,2016,Highlands,30 to 34 yrs old,All,41,20.09804
2489,2016,Highlands,35 to 39 yrs old,All,38,18.62745
2490,2016,Highlands,40 to 44 yrs old,All,32,15.68627
2491,2016,Highlands,45+ yrs old,All,16,7.84314
2492,2016,Highlands,Unknown,All,0,0
2493,2017,Highlands,Under 20yrs old,All,7,4.16667
2494,2017,Highlands,20 to 24 yrs old,All,26,15.47619
2495,2017,Highlands,25 to 29 yrs old,All,26,15.47619
2496,2017,Highlands,30 to 34 yrs old,All,30,17.85714
2497,2017,Highlands,35 to 39 yrs old,All,33,19.64286
2498,2017,Highlands,40 to 44 yrs old,All,24,14.28571
2499,2017,Highlands,45+ yrs old,All,22,13.09524
2500,2017,Highlands,Unknown,All,0,0
2501,2019,Highlands,Under 20yrs old,All,20,11.29944
2502,2019,Highlands,20 to 24 yrs old,All,25,14.12429
2503,2019,Highlands,25 to 29 yrs old,All,21,11.86441
2504,2019,Highlands,30 to 34 yrs old,All,38,21.46893
2505,2019,Highlands,35 to 39 yrs old,All,24,13.55932
2506,2019,Highlands,40 to 44 yrs old,All,20,11.29944
2507,2019,Highlands,45+ yrs old,All,29,16.38418
2508,2019,Highlands,Unknown,All,0,0
2509,2006,Inverclyde,Under 20yrs old,All,29,9.09091
2510,2006,Inverclyde,20 to 24 yrs old,All,42,13.16614
2511,2006,Inverclyde,25 to 29 yrs old,All,99,31.03448
2512,2006,Inverclyde,30 to 34 yrs old,All,72,22.57053
2513,2006,Inverclyde,35 to 39 yrs old,All,46,14.42006
2514,2006,Inverclyde,40 to 44 yrs old,All,18,5.64263
2515,2006,Inverclyde,45+ yrs old,All,13,4.07524
2516,2006,Inverclyde,Unknown,All,0,0
2517,2007,Inverclyde,Under 20yrs old,All,31,11.15108
2518,2007,Inverclyde,20 to 24 yrs old,All,34,12.23022
2519,2007,Inverclyde,25 to 29 yrs old,All,68,24.46043
2520,2007,Inverclyde,30 to 34 yrs old,All,77,27.69784
2521,2007,Inverclyde,35 to 39 yrs old,All,33,11.8705
2522,2007,Inverclyde,40 to 44 yrs old,All,21,7.55396
2523,2007,Inverclyde,45+ yrs old,All,14,5.03597
2524,2007,Inverclyde,Unknown,All,0,0
2525,2008,Inverclyde,Under 20yrs old,All,35,10.76923
2526,2008,Inverclyde,20 to 24 yrs old,All,35,10.76923
2527,2008,Inverclyde,25 to 29 yrs old,All,83,25.53846
2528,2008,Inverclyde,30 to 34 yrs old,All,74,22.76923
2529,2008,Inverclyde,35 to 39 yrs old,All,49,15.07692
2530,2008,Inverclyde,40 to 44 yrs old,All,31,9.53846
2531,2008,Inverclyde,45+ yrs old,All,18,5.53846
2532,2008,Inverclyde,Unknown,All,0,0
2533,2009,Inverclyde,Under 20yrs old,All,23,9.34959
2534,2009,Inverclyde,20 to 24 yrs old,All,28,11.38211
2535,2009,Inverclyde,25 to 29 yrs old,All,57,23.17073
2536,2009,Inverclyde,30 to 34 yrs old,All,57,23.17073
2537,2009,Inverclyde,35 to 39 yrs old,All,39,15.85366
2538,2009,Inverclyde,40 to 44 yrs old,All,26,10.56911
2539,2009,Inverclyde,45+ yrs old,All,16,6.50407
2540,2009,Inverclyde,Unknown,All,0,0
2541,2010,Inverclyde,Under 20yrs old,All,30,12.93103
2542,2010,Inverclyde,20 to 24 yrs old,All,25,10.77586
2543,2010,Inverclyde,25 to 29 yrs old,All,49,21.12069
2544,2010,Inverclyde,30 to 34 yrs old,All,58,25
2545,2010,Inverclyde,35 to 39 yrs old,All,27,11.63793
2546,2010,Inverclyde,40 to 44 yrs old,All,24,10.34483
2547,2010,Inverclyde,45+ yrs old,All,19,8.18966
2548,2010,Inverclyde,Unknown,All,0,0
2549,2011,Inverclyde,Under 20yrs old,All,34,13.87755
2550,2011,Inverclyde,20 to 24 yrs old,All,28,11.42857
2551,2011,Inverclyde,25 to 29 yrs old,All,38,15.5102
2552,2011,Inverclyde,30 to 34 yrs old,All,61,24.89796
2553,2011,Inverclyde,35 to 39 yrs old,All,40,16.32653
2554,2011,Inverclyde,40 to 44 yrs old,All,24,9.79592
2555,2011,Inverclyde,45+ yrs old,All,20,8.16327
2556,2011,Inverclyde,Unknown,All,0,0
2557,2012,Inverclyde,Under 20yrs old,All,17,7.76256
2558,2012,Inverclyde,20 to 24 yrs old,All,19,8.6758
2559,2012,Inverclyde,25 to 29 yrs old,All,45,20.54795
2560,2012,Inverclyde,30 to 34 yrs old,All,44,20.09132
2561,2012,Inverclyde,35 to 39 yrs old,All,39,17.80822
2562,2012,Inverclyde,40 to 44 yrs old,All,31,14.15525
2563,2012,Inverclyde,45+ yrs old,All,24,10.9589
2564,2012,Inverclyde,Unknown,All,0,0
2565,2013,Inverclyde,Under 20yrs old,All,26,12.56039
2566,2013,Inverclyde,20 to 24 yrs old,All,18,8.69565
2567,2013,Inverclyde,25 to 29 yrs old,All,29,14.00966
2568,2013,Inverclyde,30 to 34 yrs old,All,47,22.70531
2569,2013,Inverclyde,35 to 39 yrs old,All,40,19.32367
2570,2013,Inverclyde,40 to 44 yrs old,All,20,9.66184
2571,2013,Inverclyde,45+ yrs old,All,27,13.04348
2572,2013,Inverclyde,Unknown,All,0,0
2573,2014,Inverclyde,Under 20yrs old,All,16,8.33333
2574,2014,Inverclyde,20 to 24 yrs old,All,25,13.02083
2575,2014,Inverclyde,25 to 29 yrs old,All,27,14.0625
2576,2014,Inverclyde,30 to 34 yrs old,All,36,18.75
2577,2014,Inverclyde,35 to 39 yrs old,All,45,23.4375
2578,2014,Inverclyde,40 to 44 yrs old,All,19,9.89583
2579,2014,Inverclyde,45+ yrs old,All,24,12.5
2580,2014,Inverclyde,Unknown,All,0,0
2581,2015,Inverclyde,Under 20yrs old,All,17,9.60452
2582,2015,Inverclyde,20 to 24 yrs old,All,21,11.86441
2583,2015,Inverclyde,25 to 29 yrs old,All,31,17.51412
2584,2015,Inverclyde,30 to 34 yrs old,All,31,17.51412
2585,2015,Inverclyde,35 to 39 yrs old,All,29,16.38418
2586,2015,Inverclyde,40 to 44 yrs old,All,18,10.16949
2587,2015,Inverclyde,45+ yrs old,All,30,16.94915
2588,2015,Inverclyde,Unknown,All,0,0
2589,2016,Inverclyde,Under 20yrs old,All,26,16.56051
2590,2016,Inverclyde,20 to 24 yrs old,All,18,11.46497
2591,2016,Inverclyde,25 to 29 yrs old,All,20,12.73885
2592,2016,Inverclyde,30 to 34 yrs old,All,31,19.74522
2593,2016,Inverclyde,35 to 39 yrs old,All,31,19.74522
2594,2016,Inverclyde,40 to 44 yrs old,All,10,6.36943
2595,2016,Inverclyde,45+ yrs old,All,21,13.3758
2596,2016,Inverclyde,Unknown,All,0,0
2597,2017,Inverclyde,Under 20yrs old,All,13,8.07453
2598,2017,Inverclyde,20 to 24 yrs old,All,16,9.93789
2599,2017,Inverclyde,25 to 29 yrs old,All,14,8.69565
2600,2017,Inverclyde,30 to 34 yrs old,All,31,19.25466
2601,2017,Inverclyde,35 to 39 yrs old,All,29,18.01242
2602,2017,Inverclyde,40 to 44 yrs old,All,29,18.01242
2603,2017,Inverclyde,45+ yrs old,All,29,18.01242
2604,2017,Inverclyde,Unknown,All,0,0
2605,2019,Inverclyde,Under 20yrs old,All,24,14.37126
2606,2019,Inverclyde,20 to 24 yrs old,All,15,8.98204
2607,2019,Inverclyde,25 to 29 yrs old,All,26,15.56886
2608,2019,Inverclyde,30 to 34 yrs old,All,23,13.77246
2609,2019,Inverclyde,35 to 39 yrs old,All,34,20.35928
2610,2019,Inverclyde,40 to 44 yrs old,All,21,12.57485
2611,2019,Inverclyde,45+ yrs old,All,24,14.37126
2612,2019,Inverclyde,Unknown,All,0,0
2613,2006,North Lanarkshire,Under 20yrs old,All,51,15.08876
2614,2006,North Lanarkshire,20 to 24 yrs old,All,56,16.56805
2615,2006,North Lanarkshire,25 to 29 yrs old,All,78,23.07692
2616,2006,North Lanarkshire,30 to 34 yrs old,All,71,21.00592
2617,2006,North Lanarkshire,35 to 39 yrs old,All,51,15.08876
2618,2006,North Lanarkshire,40 to 44 yrs old,All,21,6.21302
2619,2006,North Lanarkshire,45+ yrs old,All,10,2.95858
2620,2006,North Lanarkshire,Unknown,All,0,0
2621,2007,North Lanarkshire,Under 20yrs old,All,46,10.26786
2622,2007,North Lanarkshire,20 to 24 yrs old,All,66,14.73214
2623,2007,North Lanarkshire,25 to 29 yrs old,All,100,22.32143
2624,2007,North Lanarkshire,30 to 34 yrs old,All,97,21.65179
2625,2007,North Lanarkshire,35 to 39 yrs old,All,64,14.28571
2626,2007,North Lanarkshire,40 to 44 yrs old,All,48,10.71429
2627,2007,North Lanarkshire,45+ yrs old,All,27,6.02679
2628,2007,North Lanarkshire,Unknown,All,0,0
2629,2008,North Lanarkshire,Under 20yrs old,All,34,8.56423
2630,2008,North Lanarkshire,20 to 24 yrs old,All,67,16.87657
2631,2008,North Lanarkshire,25 to 29 yrs old,All,82,20.65491
2632,2008,North Lanarkshire,30 to 34 yrs old,All,93,23.42569
2633,2008,North Lanarkshire,35 to 39 yrs old,All,59,14.86146
2634,2008,North Lanarkshire,40 to 44 yrs old,All,36,9.06801
2635,2008,North Lanarkshire,45+ yrs old,All,26,6.54912
2636,2008,North Lanarkshire,Unknown,All,0,0
2637,2009,North Lanarkshire,Under 20yrs old,All,32,4.90046
2638,2009,North Lanarkshire,20 to 24 yrs old,All,92,14.08882
2639,2009,North Lanarkshire,25 to 29 yrs old,All,130,19.90812
2640,2009,North Lanarkshire,30 to 34 yrs old,All,152,23.27718
2641,2009,North Lanarkshire,35 to 39 yrs old,All,121,18.52986
2642,2009,North Lanarkshire,40 to 44 yrs old,All,70,10.71975
2643,2009,North Lanarkshire,45+ yrs old,All,56,8.5758
2644,2009,North Lanarkshire,Unknown,All,0,0
2645,2010,North Lanarkshire,Under 20yrs old,All,42,5.14706
2646,2010,North Lanarkshire,20 to 24 yrs old,All,102,12.5
2647,2010,North Lanarkshire,25 to 29 yrs old,All,123,15.07353
2648,2010,North Lanarkshire,30 to 34 yrs old,All,209,25.61275
2649,2010,North Lanarkshire,35 to 39 yrs old,All,164,20.09804
2650,2010,North Lanarkshire,40 to 44 yrs old,All,90,11.02941
2651,2010,North Lanarkshire,45+ yrs old,All,85,10.41667
2652,2010,North Lanarkshire,Unknown,All,1,0.12255
2653,2011,North Lanarkshire,Under 20yrs old,All,50,6.87758
2654,2011,North Lanarkshire,20 to 24 yrs old,All,98,13.48006
2655,2011,North Lanarkshire,25 to 29 yrs old,All,124,17.0564
2656,2011,North Lanarkshire,30 to 34 yrs old,All,174,23.93398
2657,2011,North Lanarkshire,35 to 39 yrs old,All,123,16.91884
2658,2011,North Lanarkshire,40 to 44 yrs old,All,75,10.31637
2659,2011,North Lanarkshire,45+ yrs old,All,83,11.41678
